epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,189.251,1.27808,1.16986,1.53443,0.60212,0.50159,0.48524,0.21496,1.99671,2.06013,2.72952,0.00095795,0.00095795,0.00095795
61,192.468,1.22786,1.09124,1.49567,0.55389,0.50952,0.49267,0.21505,2.13023,2.13432,2.79225,0.000953,0.000953,0.000953
62,195.679,1.264,1.15441,1.52628,0.4996,0.42448,0.42269,0.19095,2.12349,2.19807,2.72206,0.00094805,0.00094805,0.00094805
63,199.097,1.17604,1.05464,1.47583,0.46128,0.53175,0.44406,0.20078,2.11977,2.13813,2.67396,0.0009431,0.0009431,0.0009431
64,202.337,1.2333,1.09168,1.50524,0.52486,0.4746,0.37164,0.13127,2.35852,2.50494,3.1476,0.00093815,0.00093815,0.00093815
65,205.567,1.2624,1.16549,1.56477,0.34902,0.61746,0.32879,0.14241,2.18401,2.35604,2.79236,0.0009332,0.0009332,0.0009332
66,208.866,1.19266,1.04869,1.51039,0.44477,0.59048,0.51678,0.26429,2.07054,1.79984,2.58564,0.00092825,0.00092825,0.00092825
67,212.237,1.23745,1.02697,1.50237,0.36105,0.59807,0.44003,0.18894,1.9732,1.87413,2.49676,0.0009233,0.0009233,0.0009233
68,215.64,1.10449,0.97428,1.42529,0.62362,0.52222,0.46435,0.23383,2.14704,1.79794,2.81407,0.00091835,0.00091835,0.00091835
69,218.982,1.17268,0.99346,1.47422,0.47905,0.6684,0.4768,0.24219,1.98536,1.68684,2.55724,0.0009134,0.0009134,0.0009134
70,222.567,1.22576,1.00722,1.50864,0.40384,0.71363,0.5024,0.23728,2.03347,1.54414,2.68379,0.00090845,0.00090845,0.00090845
71,225.88,1.14783,1.00529,1.43506,0.56574,0.57303,0.56456,0.28458,2.06635,1.51611,2.7255,0.0009035,0.0009035,0.0009035
72,229.359,1.1991,1.02206,1.48521,0.46787,0.54127,0.54806,0.29082,1.90876,1.63429,2.4701,0.00089855,0.00089855,0.00089855
73,232.648,1.07137,0.9006,1.40276,0.59071,0.60635,0.56994,0.26573,1.96953,1.83817,2.53415,0.0008936,0.0008936,0.0008936
74,236.028,1.14649,0.9997,1.45065,0.55118,0.67496,0.55642,0.25289,1.92758,1.91767,2.47577,0.00088865,0.00088865,0.00088865
75,239.276,1.13946,0.9743,1.46529,0.44902,0.54338,0.42952,0.17819,2.25622,2.17352,2.89683,0.0008837,0.0008837,0.0008837
76,242.565,1.15403,1.08073,1.46892,0.53794,0.75714,0.67139,0.28691,2.03822,1.51481,2.57334,0.00087875,0.00087875,0.00087875
77,245.907,1.0994,0.91718,1.41935,0.49343,0.69214,0.52006,0.22179,1.94207,1.77043,2.54569,0.0008738,0.0008738,0.0008738
78,249.145,1.04682,0.91974,1.35977,0.50604,0.6138,0.53817,0.26344,1.89941,1.68079,2.46846,0.00086885,0.00086885,0.00086885
79,252.488,1.12389,0.91095,1.44644,0.63355,0.69683,0.68336,0.33624,1.90231,1.51228,2.42554,0.0008639,0.0008639,0.0008639
80,255.834,1.06681,0.90214,1.3877,0.57448,0.72185,0.64856,0.33024,1.93654,1.60401,2.46979,0.00085895,0.00085895,0.00085895
81,259.232,1.0544,0.9023,1.40475,0.69877,0.59841,0.63315,0.33124,1.95465,1.49445,2.54452,0.000854,0.000854,0.000854
82,262.553,1.12087,0.95146,1.44301,0.62595,0.57304,0.60357,0.31098,2.03463,1.70494,2.55161,0.00084905,0.00084905,0.00084905
83,265.931,1.09224,0.92388,1.39964,0.51319,0.49803,0.44826,0.20917,2.2341,2.21452,2.76565,0.0008441,0.0008441,0.0008441
84,269.15,1.11249,0.95249,1.44709,0.58481,0.50871,0.49849,0.22203,1.9854,2.10597,2.55894,0.00083915,0.00083915,0.00083915
85,272.764,1.08596,0.8717,1.40008,0.6313,0.77302,0.72576,0.34087,1.9084,1.46064,2.45903,0.0008342,0.0008342,0.0008342
